median_income,zipcode
71555,ZCTA5 98001
45078,ZCTA5 98002
46250,ZCTA5 98003
102374,ZCTA5 98004
88940,ZCTA5 98005
113778,ZCTA5 98006
79579,ZCTA5 98007
86005,ZCTA5 98008
71563,ZCTA5 98010
76961,ZCTA5 98011
87086,ZCTA5 98012
98011,ZCTA5 98014
96630,ZCTA5 98019
79431,ZCTA5 98020
102097,ZCTA5 98021
62842,ZCTA5 98022
72303,ZCTA5 98023
112308,ZCTA5 98024
75496,ZCTA5 98026
102025,ZCTA5 98027
90588,ZCTA5 98028
100725,ZCTA5 98029
52713,ZCTA5 98030
67793,ZCTA5 98031
49591,ZCTA5 98032
105449,ZCTA5 98033
81694,ZCTA5 98034
63204,ZCTA5 98036
62561,ZCTA5 98037
96134,ZCTA5 98038
174063,ZCTA5 98039
126106,ZCTA5 98040
89352,ZCTA5 98042
64992,ZCTA5 98043
93380,ZCTA5 98045
55601,ZCTA5 98047
-,ZCTA5 98050
84096,ZCTA5 98051
106468,ZCTA5 98052
120970,ZCTA5 98053
61736,ZCTA5 98055
73330,ZCTA5 98056
42775,ZCTA5 98057
82134,ZCTA5 98058
93918,ZCTA5 98059
120814,ZCTA5 98065
53750,ZCTA5 98068
71820,ZCTA5 98070
106545,ZCTA5 98072
145262,ZCTA5 98074
150301,ZCTA5 98075
137900,ZCTA5 98077
68219,ZCTA5 98087
74144,ZCTA5 98092
51159,ZCTA5 98101
75155,ZCTA5 98102
81330,ZCTA5 98103
32568,ZCTA5 98104
49647,ZCTA5 98105
53848,ZCTA5 98106
77170,ZCTA5 98107
53143,ZCTA5 98108
85957,ZCTA5 98109
101689,ZCTA5 98110
103816,ZCTA5 98112
92039,ZCTA5 98115
77781,ZCTA5 98116
92316,ZCTA5 98117
55725,ZCTA5 98118
73794,ZCTA5 98119
73874,ZCTA5 98121
60563,ZCTA5 98122
54561,ZCTA5 98125
68342,ZCTA5 98126
53836,ZCTA5 98133
52981,ZCTA5 98134
90625,ZCTA5 98136
62633,ZCTA5 98144
58429,ZCTA5 98146
46871,ZCTA5 98148
-,ZCTA5 98154
75839,ZCTA5 98155
-,ZCTA5 98158
85670,ZCTA5 98164
66323,ZCTA5 98166
49188,ZCTA5 98168
-,ZCTA5 98174
92938,ZCTA5 98177
60839,ZCTA5 98178
42965,ZCTA5 98188
-,ZCTA5 98195
55845,ZCTA5 98198
87486,ZCTA5 98199
43803,ZCTA5 98201
57497,ZCTA5 98203
44560,ZCTA5 98204
74830,ZCTA5 98205
-,ZCTA5 98207
75568,ZCTA5 98208
null,ZCTA5 98220
61502,ZCTA5 98221
58750,ZCTA5 98222
70297,ZCTA5 98223
34861,ZCTA5 98224
38765,ZCTA5 98225
56675,ZCTA5 98226
57818,ZCTA5 98229
60158,ZCTA5 98230
74286,ZCTA5 98232
51833,ZCTA5 98233
null,ZCTA5 98235
62500,ZCTA5 98236
48125,ZCTA5 98237
-,ZCTA5 98238
58414,ZCTA5 98239
64519,ZCTA5 98240
48182,ZCTA5 98241
96655,ZCTA5 98243
51228,ZCTA5 98244
46684,ZCTA5 98245
58176,ZCTA5 98247
59217,ZCTA5 98248
57841,ZCTA5 98249
61645,ZCTA5 98250
65938,ZCTA5 98251
68443,ZCTA5 98252
57734,ZCTA5 98253
33333,ZCTA5 98255
52083,ZCTA5 98256
54306,ZCTA5 98257
80198,ZCTA5 98258
63380,ZCTA5 98260
48074,ZCTA5 98261
62734,ZCTA5 98262
60625,ZCTA5 98263
59603,ZCTA5 98264
45227,ZCTA5 98266
35536,ZCTA5 98267
66364,ZCTA5 98270
65312,ZCTA5 98271
79216,ZCTA5 98272
50090,ZCTA5 98273
59746,ZCTA5 98274
94863,ZCTA5 98275
67000,ZCTA5 98276
53355,ZCTA5 98277
-,ZCTA5 98278
52292,ZCTA5 98279
51250,ZCTA5 98280
51474,ZCTA5 98281
68002,ZCTA5 98282
25227,ZCTA5 98283
52124,ZCTA5 98284
49250,ZCTA5 98286
29063,ZCTA5 98288
77481,ZCTA5 98290
73363,ZCTA5 98292
53568,ZCTA5 98294
55927,ZCTA5 98295
